sep=;
Type;Node;
Quantity;WaterLevel;
Name;SUMN.Junction.CCCGIS.2806;
Chainage;-;
1900-01-01 00:00:00;10.37838;
1900-01-01 00:05:00;10.40001;
1900-01-01 00:10:00;10.40001;
1900-01-01 00:15:00;10.40002;
1900-01-01 00:20:00;10.40003;
1900-01-01 00:25:00;10.40004;
1900-01-01 00:30:00;10.40004;
1900-01-01 00:35:00;10.40005;
1900-01-01 00:40:00;10.40006;
1900-01-01 00:45:00;10.40007;
1900-01-01 00:50:00;10.40007;
1900-01-01 00:55:00;10.40008;
1900-01-01 01:00:00;10.40009;
1900-01-01 01:05:00;10.40034;
1900-01-01 01:10:00;10.4006;
1900-01-01 01:15:00;10.40079;
1900-01-01 01:20:00;10.40111;
1900-01-01 01:25:00;10.4014;
1900-01-01 01:30:00;10.40172;
1900-01-01 01:35:00;10.40324;
1900-01-01 01:40:00;10.41659;
1900-01-01 01:45:00;10.43587;
1900-01-01 01:50:00;10.454;
1900-01-01 01:55:00;10.46795;
1900-01-01 02:00:00;10.47884;
1900-01-01 02:05:00;10.49896;
1900-01-01 02:10:00;10.55205;
1900-01-01 02:15:00;10.65597;
1900-01-01 02:20:00;10.7865;
1900-01-01 02:25:00;10.88439;
1900-01-01 02:30:00;10.9549;
1900-01-01 02:35:00;11.01282;
1900-01-01 02:40:00;11.06966;
1900-01-01 02:45:00;11.12531;
1900-01-01 02:50:00;11.1633;
1900-01-01 02:55:00;11.19915;
1900-01-01 03:00:00;11.23806;
1900-01-01 03:05:00;11.27657;
1900-01-01 03:10:00;11.32007;
1900-01-01 03:15:00;11.35622;
1900-01-01 03:20:00;11.39129;
1900-01-01 03:25:00;11.41483;
1900-01-01 03:30:00;11.44086;
1900-01-01 03:35:00;11.45419;
1900-01-01 03:40:00;11.46565;
1900-01-01 03:45:00;11.4872;
1900-01-01 03:50:00;11.5045;
1900-01-01 03:55:00;11.53144;
1900-01-01 04:00:00;11.54103;
1900-01-01 04:05:00;11.56209;
1900-01-01 04:10:00;11.56655;
1900-01-01 04:15:00;11.59305;
1900-01-01 04:20:00;11.59961;
1900-01-01 04:25:00;11.60628;
1900-01-01 04:30:00;11.61219;
1900-01-01 04:35:00;11.61819;
1900-01-01 04:40:00;11.6287;
1900-01-01 04:45:00;11.63574;
1900-01-01 04:50:00;11.64218;
1900-01-01 04:55:00;11.64924;
1900-01-01 05:00:00;11.65731;
1900-01-01 05:05:00;11.66394;
1900-01-01 05:10:00;11.67253;
1900-01-01 05:15:00;11.68212;
1900-01-01 05:20:00;11.69039;
1900-01-01 05:25:00;11.69962;
1900-01-01 05:30:00;11.70439;
1900-01-01 05:35:00;11.71759;
1900-01-01 05:40:00;11.73096;
1900-01-01 05:45:00;11.74213;
1900-01-01 05:50:00;11.754;
1900-01-01 05:55:00;11.7644;
1900-01-01 06:00:00;11.77394;
1900-01-01 06:05:00;11.78302;
1900-01-01 06:10:00;11.79402;
1900-01-01 06:15:00;11.80456;
1900-01-01 06:20:00;11.81293;
1900-01-01 06:25:00;11.82119;
1900-01-01 06:30:00;11.83012;
1900-01-01 06:35:00;11.83776;
1900-01-01 06:40:00;11.84252;
1900-01-01 06:45:00;11.85301;
1900-01-01 06:50:00;11.85636;
1900-01-01 06:55:00;11.86471;
1900-01-01 07:00:00;11.8708;
1900-01-01 07:05:00;11.87702;
1900-01-01 07:10:00;11.88251;
1900-01-01 07:15:00;11.88491;
1900-01-01 07:20:00;11.88995;
1900-01-01 07:25:00;11.89249;
1900-01-01 07:30:00;11.89871;
1900-01-01 07:35:00;11.90142;
1900-01-01 07:40:00;11.90472;
1900-01-01 07:45:00;11.909;
1900-01-01 07:50:00;11.91293;
1900-01-01 07:55:00;11.91689;
1900-01-01 08:00:00;11.92509;
1900-01-01 08:05:00;11.93079;
1900-01-01 08:10:00;11.93563;
1900-01-01 08:15:00;11.94084;
1900-01-01 08:20:00;11.946;
1900-01-01 08:25:00;11.95136;
1900-01-01 08:30:00;11.95624;
1900-01-01 08:35:00;11.96133;
1900-01-01 08:40:00;11.9661;
1900-01-01 08:45:00;11.97069;
1900-01-01 08:50:00;11.97464;
1900-01-01 08:55:00;11.97826;
1900-01-01 09:00:00;11.98174;
1900-01-01 09:05:00;11.9844;
1900-01-01 09:10:00;11.98696;
1900-01-01 09:15:00;11.9893;
1900-01-01 09:20:00;11.99156;
1900-01-01 09:25:00;11.99269;
1900-01-01 09:30:00;11.99153;
1900-01-01 09:35:00;11.98969;
1900-01-01 09:40:00;11.98715;
1900-01-01 09:45:00;11.98457;
1900-01-01 09:50:00;11.98103;
1900-01-01 09:55:00;11.97793;
1900-01-01 10:00:00;11.97596;
1900-01-01 10:05:00;11.97375;
1900-01-01 10:10:00;11.97093;
1900-01-01 10:15:00;11.96831;
1900-01-01 10:20:00;11.96564;
1900-01-01 10:25:00;11.96348;
1900-01-01 10:30:00;11.96093;
1900-01-01 10:35:00;11.95855;
1900-01-01 10:40:00;11.95603;
1900-01-01 10:45:00;11.95363;
1900-01-01 10:50:00;11.9508;
1900-01-01 10:55:00;11.94825;
1900-01-01 11:00:00;11.94552;
